"recipient_iso","year","emergency_commitments"
"GNB",2014,5.969687
"GNB",2015,1.786423
"GNB",2016,0.088742
"GNB",2017,1.334638
"GNB",2018,1.915543
"GNB",2019,3.770763
"GNB",2020,1.951803
"GNB",2021,2.593214
"GNB",2022,43.81726
"GNB",2023,15.473694
"GNB",2024,2.176367
"GNQ",2008,1.909409
"GNQ",2009,0
"GNQ",2010,0
"GNQ",2011,0.025504
"GNQ",2012,0
"GNQ",2013,0.010912
"GNQ",2014,0
"GNQ",2015,0.13274
"GNQ",2016,0.037324
"GNQ",2017,0.083315
"GNQ",2018,0.026766
"GNQ",2019,0.014662
"GNQ",2020,0.25669
"GNQ",2021,2.864793
"GNQ",2022,0.897618
"GNQ",2023,0.740657
"GNQ",2024,0.14288
"GRD",2008,0.162762
"GRD",2009,0.33025
"GRD",2010,0.025256
"GRD",2011,10.575688
"GRD",2012,0
"GRD",2013,0.631305
"GRD",2014,6.061311
"GRD",2015,10.42897
"GRD",2016,0.832402
"GRD",2017,0.028028
"GRD",2018,4.730372
"GRD",2019,2.749523
"GRD",2020,20.695082
"GRD",2021,0.023283
"GRD",2022,27.615564
"GRD",2023,7.392694
"GRD",2024,14.379731
"GTM",2008,11.025324
"GTM",2009,101.942629
"GTM",2010,45.619274
"GTM",2011,30.461098
"GTM",2012,13.267451
"GTM",2013,4.255253
"GTM",2014,3.899187
"GTM",2015,7.70032
"GTM",2016,16.696764
"GTM",2017,25.766261
"GTM",2018,22.381507
"GTM",2019,246.417645
"GTM",2020,63.584056
"GTM",2021,46.74941
"GTM",2022,73.904881
"GTM",2023,37.351604
"GTM",2024,49.156764
"GUY",2008,0
"GUY",2009,0.078667
"GUY",2010,0.394761
"GUY",2011,0.085046
"GUY",2012,0.111161
"GUY",2013,0.114791
"GUY",2014,0.0694
"GUY",2015,0.055982
"GUY",2016,0.302455
"GUY",2017,0.493424
"GUY",2018,2.17973
"GUY",2019,1.308821
"GUY",2020,5.021877
"GUY",2021,0.395761
"GUY",2022,4.138359
"GUY",2023,1.508009
"GUY",2024,0.450935
"HND",2008,12.744044
"HND",2009,5.563373
"HND",2010,8.191258
"HND",2011,11.955576
"HND",2012,36.529261
"HND",2013,2.26725
"HND",2014,20.31442
"HND",2015,6.476217
"HND",2016,4.062988
"HND",2017,17.804266
"HND",2018,9.878628
"HND",2019,17.067446
"HND",2020,309.983432
"HND",2021,224.517793
"HND",2022,127.818276
"HND",2023,82.302655
"HND",2024,66.815458
"HRV",2008,0.178914
"HRV",2009,0.25472
"HRV",2010,0.556316
"HRV",2011,0
"HRV",2012,0
"HRV",2013,0
"HRV",2014,0
"HRV",2015,0
"HRV",2016,0
"HRV",2017,0
"HRV",2018,0
"HRV",2019,0
"HRV",2020,0
"HRV",2021,0
"HRV",2022,0
"HRV",2023,0
"HRV",2024,0
"HTI",2008,188.321628
"HTI",2009,227.362012
"HTI",2010,2373.867842
"HTI",2011,462.067274
"HTI",2012,305.790067
"HTI",2013,203.260109
"HTI",2014,148.723179
"HTI",2015,158.698205
"HTI",2016,190.121394
"HTI",2017,207.473833
"HTI",2018,71.339041
"HTI",2019,82.821183
"HTI",2020,124.58858
"HTI",2021,217.342959
"HTI",2022,179.326583
"HTI",2023,274.545565
"HTI",2024,327.481859
"IDN",2008,93.081381
"IDN",2009,220.706735
"IDN",2010,88.007633
"IDN",2011,83.493011
"IDN",2012,146.768911
"IDN",2013,55.808577
"IDN",2014,40.640798
"IDN",2015,27.32673
"IDN",2016,27.105608
"IDN",2017,98.687489
"IDN",2018,104.490697
"IDN",2019,683.99356
"IDN",2020,232.198118
"IDN",2021,650.273678
"IDN",2022,325.598142
"IDN",2023,434.736496
"IDN",2024,15.481919
"IND",2008,38.494306
"IND",2009,42.387371
"IND",2010,338.704715
"IND",2011,26.918565
"IND",2012,23.867867
"IND",2013,139.086668
"IND",2014,169.976362
"IND",2015,699.170584
"IND",2016,109.561844
"IND",2017,122.046667
"IND",2018,18.653425
"IND",2019,210.047893
"IND",2020,206.926479
"IND",2021,260.369459
"IND",2022,643.919389
"IND",2023,619.533633
"IND",2024,342.275566
"IRN",2008,13.65982
"IRN",2009,14.247909
"IRN",2010,13.654023
"IRN",2011,7.689968
"IRN",2012,13.712993
"IRN",2013,6.946263
"IRN",2014,23.769599
"IRN",2015,29.984202
"IRN",2016,93.016426
"IRN",2017,13.21329
"IRN",2018,28.508643
"IRN",2019,31.166209
"IRN",2020,23.411536
"IRN",2021,14.016541
"IRN",2022,14.334883
"IRN",2023,16.174406
"IRN",2024,7.603919
"IRQ",2008,764.544633
"IRQ",2009,398.843832
"IRQ",2010,290.700125
"IRQ",2011,220.982012
"IRQ",2012,287.816352
"IRQ",2013,375.485701
"IRQ",2014,819.384279999999
"IRQ",2015,1046.641779
"IRQ",2016,1913.121598
"IRQ",2017,1555.422547
"IRQ",2018,1418.965332
"IRQ",2019,1040.84016
"IRQ",2020,679.266006
"IRQ",2021,458.389832
"IRQ",2022,246.330596
"IRQ",2023,153.194492
"IRQ",2024,71.635046
"JAM",2008,0.715655
